room,id,rssi,time
Office,6CC5EAED-520E-9D43-E305-FAB27FE3129A,-98.0,742084308.31044
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742084308.352396
Office,7AC24B9E-EE18-9555-0E87-170FDE548EE2,-99.0,742084308.428943
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742084308.476295
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084308.603115
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084308.724006
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-95.0,742084309.290283
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-87.0,742084309.700857
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084309.802133
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-96.0,742084310.049117
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084310.221414
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084310.336757
Office,DA17F95F-02CC-93AD-F741-A6AAE0F36306,-94.0,742084310.595781
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-93.0,742084310.867818
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-93.0,742084310.998
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084311.122676
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084311.276431
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084311.287846
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084311.920758
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-96.0,742084312.059182
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-94.0,742084312.077223
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-97.0,742084312.283992
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-90.0,742084312.54933
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084313.106106
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084313.116799
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084313.637991
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742084313.651238
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742084313.875437
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084314.033327
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084314.038898
Office,43E8E0B3-70E4-5D26-DF86-805FF6BB66D9,-100.0,742084314.273305
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084314.286801
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-88.0,742084314.560893
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-78.0,742084314.748821
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084314.95138
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084315.471428
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084315.776617
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084315.9726
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742084316.666978
Office,36777159-E36F-0125-00CF-4EB86A1993E2,-99.0,742084316.805844
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084316.869622
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084316.889603
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084316.899564
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084317.017544
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084317.03308
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084317.146265
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084317.155162
Office,272CA6AF-430F-FDB5-FF7C-54364B392C7B,-97.0,742084317.271056
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084317.532737
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084317.540162
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-88.0,742084317.560586
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084317.654216
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084318.043462
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084318.189872
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084318.70561
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084318.866513
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084318.903221
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084319.251036
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-82.0,742084319.635024
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742084320.130582
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084320.141973
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084320.399219
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-85.0,742084320.517132
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084320.646153
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084320.658854
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-88.0,742084320.811039
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084320.919236
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-90.0,742084320.995109
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-89.0,742084321.005902
Office,677EFF2B-EB22-90B8-7B75-026FC164BFD6,-100.0,742084321.44614
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-85.0,742084321.694134
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-59.0,742084321.908095
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084322.079291
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084322.446397
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-85.0,742084322.522917
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084322.555916
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742084322.840992
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084322.851874
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-79.0,742084323.234035
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-91.0,742084323.522368
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-96.0,742084323.875937
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084324.119018
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-97.0,742084324.267541
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084324.764294
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084324.773734
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742084325.070654
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-81.0,742084325.296403
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084326.002245
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-78.0,742084326.078692
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084326.101781
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-55.0,742084326.842407
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-75.0,742084326.857024
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084327.433638
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084327.560706
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084327.572171
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084328.604126
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084328.614228
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084328.714171
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-82.0,742084328.880637
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084329.016748
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742084329.272797
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084329.28168
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084329.401565
