room,id,rssi,time,name
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-78.0,742178669.550027,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742178669.714896,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-79.0,742178669.800696,
Office,F42F180D-A93E-322C-898F-ABEDA3CDFA99,-96.0,742178670.041913,
Office,7F201182-04FC-812B-AC8E-5FB76C534C5F,-91.0,742178670.188821,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742178670.225897,
Office,CE8E02F4-6E03-1674-5611-3CFFB7F205F8,-97.0,742178670.366947,ihoment_H5080_8017
Office,6A57F0FD-E1AA-126E-2B72-F817CD5BB6FF,-98.0,742178670.573926,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742178670.683753,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-68.0,742178670.827411,
Office,91194700-6EE2-4ACC-984E-CA1BCEF5D54D,-96.0,742178670.957471,
Office,7F201182-04FC-812B-AC8E-5FB76C534C5F,-94.0,742178670.964103,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-94.0,742178670.981132,Maliha’s Room
Office,AE2186C3-53B4-788C-9399-EA6AFFDA44DE,-92.0,742178671.20176,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-68.0,742178671.432276,
Office,38D9F6F6-ACB4-3B9E-F0F3-5DA8FABF46B7,-76.0,742178671.553658,Brayden’s iPhone
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-82.0,742178671.574806,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-81.0,742178671.579687,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742178671.723842,
Office,67EB91E0-FD93-5829-4998-296F1BEC8275,-97.0,742178671.785277,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-65.0,742178672.102729,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-66.0,742178672.223255,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-65.0,742178672.230147,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178672.356246,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178672.36873,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-75.0,742178672.481107,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-84.0,742178672.564612,Maliha’s Room
Office,C2FA41BD-EA97-C490-D842-E96F0ACC2F86,-97.0,742178672.604738,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-62.0,742178672.630445,
